PROJ_CODE,PROJ_NAME,PROJ_SHORT,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA
J00800,Australian Vanadium project  - Gabanintha,Gabanintha,Vanadium,S0001774,-26.967612,118.646257,Youanmi Terrane,Titanium dioxide,TiO2,No,239,million tonnes,8.90020921,percent,21.2715,million tonnes,,,30.9,million tonnes,12.4038835,percent,3.8328,million tonnes,,,25.1043,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/69d9e5b1-583a-44d4-9026-a8ad2d4ff591,19/10/2022
J00800,Australian Vanadium project  - Gabanintha,Gabanintha,Vanadium,S0001774,-26.967612,118.646257,Youanmi Terrane,Vanadium pentoxide,V2O5,No,239,million tonnes,0.7314477,percent,1748.16,kilotonne,,,30.9,million tonnes,1.08359223,percent,334.83,kilotonne,,,2082.99,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/69d9e5b1-583a-44d4-9026-a8ad2d4ff591,19/10/2022
J00461,Avalon,Avalon,Nickel,S0002181,-30.736222,121.80277,Eastern Goldfields Superterrane,Nickel,Ni,Yes,169.8,million tonnes,0.82627797,percent,1403.02,kilotonne,,,,,,,,,,,1403.02,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/f22b8ab4-affb-47ec-b3f1-2f4e715d1007,19/10/2022
J01447,Baandee Southwest,Baandee Southwest,Gypsum,S0003561,-31.619573,117.943843,Yilgarn Craton granites,Gypsum,Gp,Yes,0.5,million tonnes,85,percent,425,kilotonne,,,,,,,,,,,425,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/0354db61-5bb6-4cca-a55c-48fa6abeefbb,19/10/2022
J05474,Baden Powell / Horizon,Baden Powell,Gold,S0000006,-30.239151,121.222783,Eastern Goldfields Superterrane,Gold,Au,Yes,0.595,million tonnes,1.2,gram/tonne,714,kilogram,22955.63336,ounce (troy),,,,,,,,,714,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/769439f5-5792-44e6-9f2e-69a771a4c8e6,19/10/2022
J01716,Badja,Badja,Gold,S0004559,-28.587311,116.86832,Youanmi Terrane,Gold,Au,Yes,,,,,,,,,0.015,million tonnes,6.1,gram/tonne,91.5,kilogram,2941.793351,ounce (troy),91.5,,https://minedex.dmirs.wa.gov.au/Web/projects/details/1104c648-618c-4632-a54e-d5ced3208696,19/10/2022
J00444,Bald Hill,Bald Hill,Lithium,S0020194,-31.519449,122.174698,Eastern Goldfields Superterrane,Lithium oxide,Li2O,No,26.5,million tonnes,0.96520755,percent,255780,tonnes,,,22.6,million tonnes,0.955,percent,215830,tonnes,,,471610,tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/3efb7b8c-dc7d-49e1-9bc2-638b870dc134,19/10/2022
J00444,Bald Hill,Bald Hill,Lithium,S0020194,-31.519449,122.174698,Eastern Goldfields Superterrane,Tantalum pentoxide,Ta2O5,No,26.5,million tonnes,0.01471698,percent,3900,tonnes,,,24.6,million tonnes,0.0154065,percent,3790,tonnes,,,7690,tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/3efb7b8c-dc7d-49e1-9bc2-638b870dc134,19/10/2022
J01377,Balfour South - Woodie Woodie / ConsMin,Balfour South - Woodie Woodie,Manganese,S0029255,-23.13993,120.58436,Collier Basin,Iron,Fe,No,21.6,million tonnes,10.6,percent,2.2896,million tonnes,,,,,,,,,,,2.2896,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/f4fb91ee-f10b-4e8c-ac6b-e62be1450085,19/10/2022
J01377,Balfour South - Woodie Woodie / ConsMin,Balfour South - Woodie Woodie,Manganese,S0029255,-23.13993,120.58436,Collier Basin,Manganese,Mn,Yes,21.6,million tonnes,19.4,percent,4190.4,kilotonne,,,,,,,,,,,4190.4,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/f4fb91ee-f10b-4e8c-ac6b-e62be1450085,19/10/2022
J01536,Bali,Bali,Copper,S0003870,-23.40612,116.933296,Blair Basin,Copper,Cu,Yes,0.09,million tonnes,1.3,percent,1.17,kilotonne,,,,,,,,,,,1.17,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/2af33503-e627-48b9-96da-66a4c831d79d,19/10/2022
J01536,Bali,Bali,Copper,S0003870,-23.40612,116.933296,Blair Basin,Gold,Au,No,0.095,million tonnes,0.2,gram/tonne,19,kilogram,610.864193,ounce (troy),,,,,,,,,19,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/2af33503-e627-48b9-96da-66a4c831d79d,19/10/2022
J01536,Bali,Bali,Copper,S0003870,-23.40612,116.933296,Blair Basin,Lead,Pb,No,0.095,million tonnes,2.08,percent,1.976,kilotonne,,,,,,,,,,,1.976,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/2af33503-e627-48b9-96da-66a4c831d79d,19/10/2022
J00794,Balla Balla Magnetite-Vanadium,Balla Balla,Vanadium,S0006422,-20.759699,117.756965,Sisters Supersuite,Iron,Fe,No,455.9,million tonnes,44.73191489,percent,203.9328,million tonnes,,,229,million tonnes,44.98323144,percent,103.0116,million tonnes,,,306.9444,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/b07edb60-390e-44de-aa80-0a1f772ab7e7,19/10/2022
J00794,Balla Balla Magnetite-Vanadium,Balla Balla,Vanadium,S0006422,-20.759699,117.756965,Sisters Supersuite,Titanium dioxide,TiO2,No,455.9,million tonnes,13.8089932,percent,62.9552,million tonnes,,,229,million tonnes,13.75925764,percent,31.5087,million tonnes,,,94.4639,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/b07edb60-390e-44de-aa80-0a1f772ab7e7,19/10/2022
J00794,Balla Balla Magnetite-Vanadium,Balla Balla,Vanadium,S0006422,-20.759699,117.756965,Sisters Supersuite,Vanadium pentoxide,V2O5,No,455.9,million tonnes,0.65529721,percent,2987.5,kilotonne,,,229,million tonnes,0.6190262,percent,1417.57,kilotonne,,,4405.07,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/b07edb60-390e-44de-aa80-0a1f772ab7e7,19/10/2022
J03242,Balladonia / Tiger,Balladonia,Lignite,S0022506,-32.547501,123.503998,Balladonia Shelf,Lignite,Lignite,Yes,1920,million tonnes,100,percent,1920,million tonnes,,,,,,,,,,,1920,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/5c60ea95-1ef9-48e5-95ee-68c0a1a8d5b0,19/10/2022
