SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0000012,Baneygo,Baneygo,Mine,Openpit,Operating,J00009,Duketon / Regis Resources,122.3125,-27.963344,432379,6906668,51,Au Ag,Precious metal,GOLD,,N,,Y,,Operating Mine,Public,3342,DUKETON,SG51-14,DUKETON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20221013
S0000030,Golden Crown,Beatons Creek - Golden Crown,Mine,Openpit,Operating,J04143,Beatons Creek JV,120.101598,-21.870333,200460,7578701,51,Au Ag As Cu Bi Sb,Precious metal,GOLD,Beatons Creek,N,,Y,,Operating Mine,Public,2954,NULLAGINE,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Northeast Pilbara Sub-basin,20221013
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655357,-27.318659,564838,6978099,50,Au Ag,Precious metal,GOLD,Big Bell,N,,Y,,Operating Mine,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20221013
S0000045,Aladdin,Aladdin Open Pit,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.347188,-26.86947,633823,7027311,50,Au Ag,Precious metal,GOLD,Aladdin,N,,Y,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20221013
S0000046,Bluebird,Bluebird - Bluebird South,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.425102,-26.716249,641754,7044200,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20221013
S0000049,Five Mile Well,Five Mile Well,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.54088,-26.529259,653521,7064780,50,Au Ag,Precious metal,GOLD,Five Mile Well,N,,Y,,Operating Mine,Public,2644,GABANINTHA,SG50-12,GLENGARRY,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20221013
S0000053,Southern Stockworks,Boorara Open Pit - Southern Stockworks,Mine,Openpit,Operating,J02851,Boorara / Horizon,121.644084,-30.809293,370293,6590747,51,Au Ag,Precious metal,GOLD,Boorara,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000138,Cosmopolitan,Cosmopolitan Tailings,Mine,Tailings storage facility,Operating,J05659,Kookynie / Nex Metals,121.4954,-29.337562,353922,6753675,51,Au,Precious metal,GOLD,,N,,,,,Public,3139,MELITA,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",40,NIAGARA,Eastern Goldfields Superterrane,20221013
S0000181,Morrison,Morrison,Mine,Openpit,Operating,J00102,Golden Mile / KCGM,121.508466,-30.789484,357289,6592777,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000198,Yarlarweelor,Yarlarweelor North & South,Mine,Openpit,Operating,J00109,Fortnum,118.360354,-25.343679,636897,7196301,50,Au Ag,Precious metal,GOLD,Yarlarweelor,N,,Y,,Operating Mine,Public,2547,MILGUN,SG50-07,ROBINSON RANGE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Bryah Basin,20221013
S0000258,Goongarrie Lady,Goongarrie Lady,Mine,Openpit,Operating,J04956,Goongarrie Lady,121.184481,-30.081354,325026,6670810,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3137,BARDOC,SH51-09,KALGOORLIE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20221013
S0000263,Paris,Paris,Mine,Openpit,Operating,J04873,GBF Paris ,121.975881,-31.588763,402835,6504690,51,Au Ag,Precious metal,GOLD,Paris,N,,Y,,Operating Mine,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000275,Hawkins Find,Hawkins Find,Mine,Openpit,Operating,J01884,Hawkins Find,121.02196,-30.498387,310164,6624323,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3137,BARDOC,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20221013
S0000350,Lord Byron SE,Lord Byron Southeast,Mine,Openpit,Operating,J05577,Jasper Hills ,123.043943,-29.131214,504275,6777476,51,Au Ag,Precious metal,GOLD,Lord Byron,N,,Y,,Operating Mine,Public,3539,LIGHTFOOT,SH51-07,MINIGWAL,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Burtville Terrane,20221013
S0000357,Jupiter,Jupiter - Joanne - Doublejay,Mine,Openpit,Operating,J00256,Mt Morgans,122.219287,-28.807189,423817,6813126,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20221013
S0000379,Last Chance E,Last Chance East,Mine,Unspecified,Operating,J00181,Kanowna - Golden Valley,121.601997,-30.594219,365970,6614535,51,Au,Precious metal,GOLD,Last Chance East,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",27,KANOWNA,Eastern Goldfields Superterrane,20221013
S0000389,Harrys Hill,Harrys Hill,Mine,Openpit,Operating,J00184,Aldiss - Karonie,122.558028,-31.045011,457826,6565326,51,Au Ag,Precious metal,GOLD,Harrys Hill,N,,Y,,Operating Mine,Public,3435,ERAYINIA,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20221013
S0000462,Lloyd George,Lloyd George - Gibraltar,Mine,Openpit,Operating,J00218,Gibraltar South / Torian,120.967452,-31.04095,306024,6564085,51,Au Ag,Precious metal,GOLD,Lloyd George,N,,Y,,Operating Mine,Public,3035,WOOLGANGIE,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000469,Star of Mangaroon,Star of Mangaroon,Mine,Shaft,Operating,J00222,Mangaroon Gold,115.746101,-23.867599,372327,7359866,50,Au Pb Ag,Precious metal,GOLD,Star of Mangaroon,N,,Y,,Operating Mine,Public,2050,MANGAROON,SF50-14,EDMUND,"UPPER GASCOYNE, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Province,20221013
S0000541,Mt Marven,Mt Marven,Mine,Openpit,Operating,J00256,Mt Morgans,122.175598,-28.81282,419558,6812473,51,Au Ag,Precious metal,GOLD,Mt Marven,N,,Y,,Operating Mine,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20221013
S0000566,Racetrack,Racetrack - Racetrack West,Mine,Openpit,Operating,J00292,Paddington - Mt Pleasant,121.22703,-30.556282,329949,6618233,51,Au Ag,Precious metal,GOLD,Racetrack West,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20221013
S0000590,Nevoria UG,Nevoria Underground,Mine,Decline,Operating,J00226,Marvel Loch - Southern Cross,119.588401,-31.507265,745825,6511275,50,Au Ag,Precious metal,GOLD,Nevoria,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20221013
S0000642,Enterprise,Enterprise Open Pit,Mine,Openpit,Operating,J04664,Ora Banda / Norton,121.088414,-30.372122,316307,6638430,51,Au Ag,Precious metal,GOLD,Enterprise,N,,Y,,Operating Mine,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20221013
S0000671,Million Dollar North,Million Dollar North,Mine,Openpit,Operating,J00094,Porphyry - Northern Operations,122.285975,-29.799054,430995,6703267,51,Au Ag,Precious metal,GOLD,Million Dollar,N,,Y,,Operating Mine,Public,3338,EDJUDINA,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Yilgarn Craton granites,20221013
S0000675,Queen Lapage,Queen Lapage,Mine,Openpit,Operating,J00307,Queen Lapage,121.979797,-30.61618,402215,6612490,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",25,BULONG,Eastern Goldfields Superterrane,20221013
S0000698,Missouri,Missouri,Mine,Openpit,Operating,J00084,Davyhurst - Lady Ida - Mulline - Riverina - Siberia Gold,120.953665,-30.219187,303050,6655156,51,Au Ag,Precious metal,GOLD,Missouri,N,,Y,,Operating Mine,Public,3037,DAVYHURST,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20221013
S0000709,Second Fortune,Second Fortune,Mine,Decline,Operating,J02325,Linden Gold,122.435819,-29.376506,445249,6750167,51,Au Ag,Precious metal,GOLD,Second Fortune,N,,Y,,Operating Mine,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20221013
S0000726,Spargos Reward,Spargos Reward,Mine,Openpit,Operating,J00333,Spargos Reward,121.47075,-31.236454,354362,6543185,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3135,YILMIA,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000728,Jasper,Jasper - Aucklands,Mine,Openpit,Operating,J00330,Gwalia - Leonora,121.243896,-28.75897,328546,6817454,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3140,LEONORA,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Eastern Goldfields Superterrane,20221013
S0000732,Main Dome,Telfer Main Dome,Mine,Openpit,Operating,J00338,Telfer / Newcrest,122.207118,-21.719565,417996,7598002,51,Au Cu Ag,Precious metal,GOLD,Telfer,Y,"Au, Cu, Ag",Y,,Operating Mine,Public,3354,PATERSON,SF51-06,PATERSON RANGE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Yeneena Basin,20221013
S0000769,Edna May UG,Edna May Underground,Mine,Decline,Operating,J00357,Edna May - Westonia,118.700154,-31.291771,661822,6536815,50,Au Ag Opalc,Precious metal,GOLD,Edna May,N,,Y,,Operating Mine,Public,2635,WESTONIA,SH50-16,SOUTHERN CROSS,"WESTONIA, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,South West Terrane,20221013
S0000770,Edna May,Edna May - Westonia,Mine,Openpit,Operating,J00357,Edna May - Westonia,118.698538,-31.290258,661670,6536985,50,Au W Ag,Precious metal,GOLD,,N,,,,,Public,2635,WESTONIA,SH50-16,SOUTHERN CROSS,"WESTONIA, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Yilgarn Craton granites,20221013
S0000776,Bulletin,Bulletin - Wiluna,Mine,Openpit,Operating,J02624,Matilda,120.246696,-26.61145,225834,7053646,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2944,WILUNA,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20221013
S0000811,Anglo Saxon,Anglo Saxon - Trouser Legs,Mine,Openpit,Operating,J00424,Anglo Saxon - Trouser Legs,122.731479,-30.076781,474122,6672676,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3437,PINJIN,SH51-10,KURNALPI,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Eastern Goldfields Superterrane,20221013
S0000847,Great Victoria,Great Victoria - GVG,Mine,Openpit,Operating,J00226,Marvel Loch - Southern Cross,119.5737,-31.544279,744331,6507203,50,Au Ag,Precious metal,GOLD,Great Victoria,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20221013
S0000880,Mt Charlotte,Mt Charlotte,Mine,Shaft,Operating,J00102,Golden Mile / KCGM,121.480904,-30.746441,354587,6597513,51,Au Ag,Precious metal,GOLD,Mt Charlotte,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000909,Porphyry Pit,Porphyry Open Pit,Mine,Openpit,Operating,J00094,Porphyry - Northern Operations,122.285004,-29.780899,430888,6705278,51,Au Ag,Precious metal,GOLD,Porphyry,N,,Y,,Operating Mine,Public,3338,EDJUDINA,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Yilgarn Craton granites,20221013
S0000927,Two Boys,Two Boys / Karora,Mine,Decline,Operating,J00152,Higginsville,121.724998,-31.74041,379227,6487630,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000933,Bellevue UG,Bellevue Underground,Mine,Unspecified,Operating,J04770,Bellevue,120.557701,-27.638941,259030,6940410,51,Au Ag,Precious metal,GOLD,Bellevue,N,,Y,,Operating Mine,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20221013
S0001007,Wandoo S,Wandoo South,Mine,Openpit,Operating,J00026,Boddington Gold,116.357519,-32.753078,439815,6375904,50,Au Cu As Bi Ag,Precious metal,GOLD,Boddington,Y,"Au, Cu, As, Bi, Ag",Y,,Operating Mine,Public,2132,DWELLINGUP,SI50-02,PINJARRA,"BODDINGTON, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,South West Terrane,20221013
S0001063,Mickey Doolan,Mickey Doolan,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.502775,-26.618099,649609,7054983,50,Au Ag,Precious metal,GOLD,Mickey Doolan,N,,Y,,Operating Mine,Public,2644,GABANINTHA,SG50-12,GLENGARRY,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20221013
S0001145,Comet-Pinnacles UG,Comet - Pinnacles Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,118.043602,-27.5401,603045,6953307,50,Au Ag,Precious metal,GOLD,Comet,N,,Y,,Operating Mine,Public,2542,WYNYANGOO,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",21,DAY DAWN,Youanmi Terrane,20221013
S0001172,George Palmer,George Palmer Pit,Mine,Openpit,Operating,J00446,Sino - Cape Preston Iron,116.141296,-21.081341,410801,7668609,50,Fe Mag Fe2O3,Iron,IRON ORE,Sino - George Palmer,Y,"Fe, Mag, Fe2O3",Y,,Operating Mine,Public,2155,FORTESCUE,SF50-06,YARRALOOLA,"KARRATHA, CITY OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20221013
S0001174,Halleys,Halleys,Mine,Openpit,Operating,J02145,Ravensthorpe - First Quantum,120.374303,-33.633382,256453,6275400,51,Ni Co Mg,Steel alloy metal,NICKEL,Halleys,Y,"Ni, Co, Mg",Y,,Operating Mine,Public,2930,RAVENSTHORPE,SI51-05,RAVENSTHORPE,"RAVENSTHORPE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,Youanmi Terrane,20221013
S0001224,Deepdale J,"Deepdale Mesa J Pits 1-12, J Extended",Mine,Openpit,Operating,J00484,Robe River - Deepdale,116.247354,-21.751437,422175,7594496,50,Fe,Iron,IRON ORE,Mesa J - Deepdale,N,,Y,,Operating Mine,Public,2154,PANNAWONICA,SF50-06,YARRALOOLA,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20221013
S0001256,Gossan Hill U/G,Gossan Hill Portal,Mine,Decline,Operating,J00527,Golden Grove,116.962407,-28.765087,496330,6818040,50,Cu Zn Pb Ag Au,Base metal,COPPER - LEAD - ZINC,Golden Grove,Y,"Cu, Zn, Pb, Ag, Au",Y,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20221013
S0001257,Scuddles U/G,Scuddles Portal - Cervantes,Mine,Decline,Operating,J00527,Golden Grove,116.945103,-28.744567,494640,6820312,50,Zn Pb Cu Ag Au,Base metal,COPPER - LEAD - ZINC,Scuddles,Y,"Zn, Pb, Cu, Ag, Au",Y,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20221013
S0001258,Goliath North,Goliath North - Mt Keith Satellite,Mine,Openpit,Operating,J00756,Mt Keith / BHP Billiton,120.58921,-27.44865,261729,6961560,51,Ni,Steel alloy metal,NICKEL,,N,,,,,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20221013
S0001260,Cornwall,Cornwall Primary Pegmatite,Mine,Openpit,Operating,J00530,Greenbushes Tantalum,116.059879,-33.855804,413034,6253434,50,Ta Li Sn Ta2O5 SnO2,Speciality metal,TIN - TANTALUM - LITHIUM,,N,,,,,Public,2130,BRIDGETOWN,SI50-06,COLLIE,"BRIDGETOWN-GREENBUSHES, SHIRE OF","SOUTH WEST, Development Region",1,GREENBUSHES M.F.,South West Terrane,20221013
S0001288,Durkin N,Durkin North,Mine,Decline,Operating,J02628,Kambalda / Mincor,121.661201,-31.164049,372404,6551446,51,Ni Cu Co,Steel alloy metal,NICKEL,Durkin North,Y,"Ni, Cu, Co",Y,,Operating Mine,Public,3235,LAKE LEFROY,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0001300,Lanfranchi,Lanfranchi,Mine,Decline,Under Development,J02900,Lanfranchi Tramways,121.842903,-31.505461,390120,6513798,51,Ni Cu,Steel alloy metal,NICKEL,Lanfranchi,Y,"Ni, Cu",Y,,Operating Mine,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0001346,Wheelarra 4,Wheelarra 4,Mine,Openpit,Operating,J00573,Jimblebar-Wheelarra-Hashimoto / BHPB,120.1371,-23.380329,207350,7411473,51,Fe,Iron,IRON ORE,,N,,Y,,Operating Mine,Public,2951,MURRAMUNDA,SF51-13,ROBERTSON,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20221013
S0001375,Cliffs,Cliffs Underground,Mine,Decline,Operating,J00440,Leinster,120.541753,-27.304974,256722,6977390,51,Ni Cu,Steel alloy metal,NICKEL,Cliffs,Y,"Ni, Cu",Y,,Operating Mine,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20221013
S0001385,Tom Price,Tom Price Main and Remnants,Mine,Openpit,Operating,J03928,Tom Price / Rio Tinto,117.776095,-22.769347,579672,7481804,50,Fe,Iron,IRON ORE,Tom Price,N,,Y,,Operating Mine,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0001388,Turner Syncline Sec 10,Turner Syncline Section 10,Mine,Openpit,Operating,J00609,Turner Syncline West,117.586304,-22.66221,560234,7493753,50,Fe,Iron,IRON ORE,Western Turner Syncline,N,,Y,,Operating Mine,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0001399,Nammuldi,Nammuldi Lens C,Mine,Openpit,Operating,J03932,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.337502,-22.412291,534735,7521498,50,Fe,Iron,IRON ORE,Nammuldi,N,,Y,,Operating Mine,Public,2353,JEERINAH,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0001402,Mt Whaleback,Mt Whaleback,Mine,Openpit,Operating,J00623,Newman / BHPB,119.6754,-23.36536,773504,7413500,50,Fe,Iron,IRON ORE,Mt Whaleback,N,,Y,,Operating Mine,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20221013
S0001405,OB 29,Mt Newman Orebody 29,Mine,Openpit,Operating,J00623,Newman / BHPB,119.703796,-23.382259,776373,7411573,50,Fe,Iron,IRON ORE,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20221013
S0001413,18E,Paraburdoo 18 East,Mine,Openpit,Operating,J03930,Paraburdoo / Rio Tinto,117.631302,-23.25565,564575,7428038,50,Fe,Iron,IRON ORE,,N,,,,,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0001441,Wonnerup South,Wonnerup South Main Pit,Mine,Openpit,Operating,J01034,Bunbury Area Operations / Tronox,115.415252,-33.670987,353083,6273197,50,HM Ilm Leu Zrn,Speciality metal,HEAVY MINERAL SANDS,Wonnerup,Y,"HM, Ilm, Leu, Zrn",Y,,Operating Mine,Public,1930,BUSSELTON,SI50-05,BUSSELTON,"BUSSELTON, CITY OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20221013
S0001455,Silvergrass Pit 4,Silvergrass Pit 4,Mine,Openpit,Operating,J03932,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.303539,-22.317757,531261,7531970,50,Fe,Iron,IRON ORE,Silvergrass,N,,Y,,Operating Mine,Public,2353,JEERINAH,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0001456,Six Mile Well,Six Mile Well - Mt Keith Satellite,Mine,Openpit,Operating,J00756,Mt Keith / BHP Billiton,120.57824,-27.422664,260588,6964418,51,Ni,Steel alloy metal,NICKEL,Six Mile Well,Y,Ni,Y,,Operating Mine,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20221013
S0001471,HD1 SC,Hope Downs 1 South Central,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.107344,-22.99867,716000,7455075,50,Fe,Iron,IRON ORE,,N,,,,,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0001488,Wonnerup North,Wonnerup North,Mine,Openpit,Operating,J01034,Bunbury Area Operations / Tronox,115.464074,-33.651778,357577,6275395,50,HM Ilm Zrn Leu Mnz,Speciality metal,HEAVY MINERAL SANDS,,N,,Y,,Operating Mine,Public,1930,BUSSELTON,SI50-05,BUSSELTON,"BUSSELTON, CITY OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20221013
S0001534,23E,Paraburdoo 23 East,Mine,Openpit,Operating,J03930,Paraburdoo / Rio Tinto,117.653999,-23.24884,566900,7428782,50,Fe,Iron,IRON ORE,,N,,,,,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20221013
S0001538,Abra UG,Abra Underground,Mine,Decline,Under Development,J00545,Abra - Mulgul,118.585512,-24.638213,660472,7274185,50,Pb Cu Zn Au Ag,Base metal,COPPER - LEAD - ZINC,Abra,Y,"Pb, Cu, Zn, Au, Ag",Y,,Operating Mine,Public,2648,CALYIE,SG50-04,COLLIER,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Edmund Basin,20221013
S0001583,Rockys Reward Pit,Rockys Reward Openpit,Mine,Openpit,Operating,J00440,Leinster,120.697197,-27.791439,273113,6923774,51,Ni Cu,Steel alloy metal,NICKEL,Rockys Reward,Y,"Ni, Cu",Y,,Operating Mine,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20221013
