SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0229858,West Dome Main,Telfer West Dome Main,Mine,Openpit,Operating,J00338,Telfer / Newcrest,122.185071,-21.720134,415716,7597928,51,Au,Precious metal,GOLD,West Dome,N,,Y,,Operating Mine,Public,3354,PATERSON,SF51-06,PATERSON RANGE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Yeneena Basin,20221013
S0229922,Murrin Murrin East Calcrete,Murrin Murrin East Calcrete,Mine,Openpit,Operating,J02291,Mt Zephyr Calcrete,122.139396,-28.488011,415766,6848434,51,Cali CaO Lst Lsd,Industrial mineral,LIMESTONE - LIMESAND,Murrin Murrin East,Y,"Cali, CaO, Lst, Lsd",Y,,Operating Mine,Public,3341,MOUNT VARDEN,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Yilgarn Craton granites,20221013
S0229942,Apple St Lot 2 / Australbricks,Apple St Upper Swan  Lot 2 / Australbricks,Mine,Openpit,Operating,J02059,Muchea - Upper Swan / Austral Bricks,116.026403,-31.764019,407801,6485308,50,Cybk Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20221013
S0229943,Apple St Lot 43 / Australbricks,Apple St Upper Swan Lot 43  / Australbricks,Mine,Openpit,Operating,J02059,Muchea - Upper Swan / Austral Bricks,116.03163,-31.761754,408295,6485564,50,Cybk Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20221013
S0229955,Sandy Cape Lsd,Sandy Cape Limesand,Mine,Openpit,Operating,J01833,Jurien Lime Sands,115.005112,-30.181875,307930,6659380,50,Lsd Lst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1937,HILL RIVER,SH50-09,HILL RIVER,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beagle Ridge,20221013
S0229969,Jandabup Sand 1 / Urban Resources,Jandabup Sand 1 / Urban Resources,Mine,Openpit,Operating,J04314,Jandabup Sand / Urban Resources,115.859561,-31.725778,391957,6489394,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"WANNEROO, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20221013
S0229979,Nickol Bay Sand 1,Nickol Bay Sand 1 / Nickol River Enterprises,Mine,Openpit,Operating,J04317,Nickol Bay Sand / Nickol River Enterprises,116.923132,-20.7492,491998,7705607,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Nickol River Basin,20221013
S0230003,Ninghan Black Jade ,Ninghan Black Jade / Soklich,Mine,Openpit,Operating,J04321,Ninghan Black Jade / Soklich,117.272324,-29.243306,526462,6765027,50,BlackJade,Precious mineral,GEM & SEMI-PRECIOUS STONES,Ninghan,Y,BlackJade,Y,,Operating Mine,Public,2339,NINGHAN,SH50-07,NINGHAN,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20221013
S0230004,Mulligans Lagoon/JAB,Mulligans Lagoon / JAB,Mine,Openpit,Operating,J01872,Kununurra / JAB,128.800112,-15.660956,478578,8268557,52,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4666,KUNUNURRA,SD52-14,CAMBRIDGE GULF,"WYNDHAM-EAST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,Burt Range Shelf,20221013
S0230026,Enterprise West,Enterprise West - Paddington,Mine,Openpit,Operating,J04664,Ora Banda / Norton,121.079836,-30.374883,315488,6638110,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20221013
