PROJ_CODE,PROJ_NAME,PRI_P_COM,RES_QTY,TOT_MIN_RES_QUANTITY,RES_CON,TOT_MIN_RES_CONT_COM_UNIT,RES_ALT_CONT_COM,TOT_MIN_RES_ALT_CONT_COM_UNIT
J00358,Kundana - White Flag,Gold,76.03,million tonnes,152257.8,kilotonne,4895202.007,ounce (troy)
J01718,Kundana East,Gold,0.915,million tonnes,4283.4,kilotonne,137714.5097,ounce (troy)
J03495,Kurnalpi / KalNorth,Gold,5.2546,million tonnes,5947.51,kilotonne,191216.8893,ounce (troy)
J01212,Kurnalpi Dryblowing / Shannon,Gold,0.015,million tonnes,7.5,kilotonne,241.13060249999998,ounce (troy)
J03802,Kurnalpi Gold,Gold,1.325,million tonnes,2347.4,kilotonne,75470.66351,ounce (troy)
J00198,Lady Bountiful,Gold,1.07,million tonnes,2745.0,kilotonne,88253.80052,ounce (troy)
J05641,Lady Julie,Gold,5.486000000000001,million tonnes,6947.82,kilotonne,223377.603,ounce (troy)
J01692,Lady Susan,Gold,0.071,million tonnes,142.51,kilotonne,4581.802955,ounce (troy)
J03340,Lake Giles Magnetite and Ularring Hematite,Iron,1445.76,million tonnes,423.63135,kilotonne,,
J01666,Lake Johnston / Poseidon,Nickel,3.5,million tonnes,52.13,kilotonne,,
J04745,Lake Roe,Gold,31.929000000000002,million tonnes,52174.48,kilotonne,1677448.506,ounce (troy)
J01010,Lake Yindarlgooda Nickel,Nickel,3.8,million tonnes,28.5,kilotonne,,
J00206,Lalla Rookh,Gold,0.278,million tonnes,591.17,kilotonne,19006.5571,ounce (troy)
J03119,Lamb Creek / MRL,Iron,39.7,million tonnes,22.6617,kilotonne,,
J00208,Lancefield Tailings,Gold,1.548,million tonnes,1942.3,kilotonne,62446.3959,ounce (troy)
J02900,Lanfranchi Tramways,Nickel,5.653,million tonnes,95.1748,kilotonne,,
J02503,Larkins Find,Nickel,5.2,million tonnes,41.6,kilotonne,,
J05746,Larkinville,Gold,0.1197,million tonnes,360.9175,kilotonne,11603.76723,ounce (troy)
J00238,Laverton - Barnicoat - Karridale - Merolia / Focus,Gold,64.437,million tonnes,116100.89,kilotonne,3732730.341,ounce (troy)
J02174,Laverton Downs,Gold,0.032,million tonnes,144.0,kilotonne,4629.707568,ounce (troy)
J00440,Leinster,Nickel,194.77,million tonnes,2023.6,kilotonne,,
J00638,Lennard Shelf / Northwest,Zinc,14.99,million tonnes,702.373,kilotonne,,
J00563,Lennons Find,Zinc,1.79,million tonnes,91.79,kilotonne,,
J02802,Leonora - Crawford and Gambier Lass,Gold,3.2439999999999998,million tonnes,3092.6,kilotonne,99429.40017000001,ounce (troy)
J00232,Leonora / Kin,Gold,34.4616,million tonnes,43200.04,kilotonne,1388913.5559999999,ounce (troy)
J03482,Liberty - Indee,Zinc,0.59,million tonnes,23.003,kilotonne,,
J02325,Linden Gold,Gold,1.2762,million tonnes,5640.47,kilotonne,181345.3239,ounce (troy)
J01525,Lindsays,Gold,3.9732,million tonnes,6705.71,kilotonne,215593.5857,ounce (troy)
J02143,Livingstone Gold,Gold,1.65802,million tonnes,2502.7414,kilotonne,80465.00556,ounce (troy)
J03243,Magnetite Range,Iron,434.5,million tonnes,136.51782,kilotonne,,
J05862,Maguires Reward,Gold,0.3121,million tonnes,674.072,kilotonne,21671.91833,ounce (troy)
J03136,Makanykarra,Iron,2020.0,million tonnes,739.4019999999999,kilotonne,,
J03099,Malcolm,Gold,0.2502,million tonnes,1553.94,kilotonne,49960.33179,ounce (troy)
J05257,Malcolm / Torian,Gold,0.2943,million tonnes,451.04900000000004,kilotonne,14501.562280000002,ounce (troy)
J00270,Malcolm Challenger Gold - Murrin Murrin,Gold,0.547,million tonnes,1706.64,kilotonne,54869.75086,ounce (troy)
J02786,Mallina Gold,Gold,225.05,million tonnes,279148.2,kilotonne,8974823.154,ounce (troy)
J02817,Mandilla,Gold,24.1,million tonnes,24140.0,kilotonne,776119.0326,ounce (troy)
J00222,Mangaroon Gold,Gold,0.069,million tonnes,1227.3,kilotonne,39458.611789999995,ounce (troy)
J00522,Manindi,Zinc,1.0758590000000001,million tonnes,70.102811,kilotonne,,
J02854,Marda / Southern Cross,Gold,2.766,million tonnes,4146.0,kilotonne,133296.9971,ounce (troy)
J03359,Marillana / Brockman - MRL JV,Iron,1506.3,million tonnes,648.6681,kilotonne,,
J00571,Marillana Creek - Yandi / BHPB,Iron,1620.0,million tonnes,896.76,kilotonne,,
J01043,Maroochydore - Broadhurst,Copper,48.63,million tonnes,484.93800000000005,kilotonne,,
J01304,Marriott,Nickel,0.584,million tonnes,6.8870000000000005,kilotonne,,
J00226,Marvel Loch - Southern Cross,Gold,29.697,million tonnes,128111.43,kilotonne,4118878.1739999996,ounce (troy)
J02624,Matilda,Gold,78.37,million tonnes,171712.7,kilotonne,5520691.574,ounce (troy)
J01211,Maybell - Norseman,Gold,1.7955,million tonnes,3807.54,kilotonne,122415.2552,ounce (troy)
J01239,Mayday,Gold,1.734,million tonnes,2602.0,kilotonne,83656.24369,ounce (troy)
J01679,McGuires Reward - Beebyn West,Gold,0.37,million tonnes,1369.0,kilotonne,44014.372639999994,ounce (troy)
J02511,McPhee Creek,Iron,10.1,million tonnes,5.4374,kilotonne,,
J04548,McPhees,Gold,0.396,million tonnes,621.72,kilotonne,19988.76242,ounce (troy)
J01011,Menzies,Gold,15.44,million tonnes,16170.4,kilotonne,519890.4393,ounce (troy)
J02333,Menzies / Helix,Gold,0.085,million tonnes,510.0,kilotonne,16396.88097,ounce (troy)
J03438,Miaree - Kaninda,Iron,286.0,million tonnes,89.7026,kilotonne,,
J03381,Mid West / Atlas,Iron,7.0,million tonnes,4.004,kilotonne,,
