SITE_CODE,PROJ_CODE,TITLE,SUB_TYPE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,LGA_NAME,DISTRICT_NAME,TECTONIC_UNIT
S0003533,J01726,Nimary Three,Decline,Operating,Jundee - Nimary,120.594002,-26.37397,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0003696,J00152,Mousehollow,Openpit,Under Development,Higginsville,121.819011,-31.784390999999996,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0003719,J00706,West Angelas Deposit B,Openpit,Operating,West Angelas,118.767575,-23.118524,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0003722,J00706,West Angelas Deposit E,Openpit,Operating,West Angelas,118.789979,-23.198053,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0003738,J00156,Hill 60 Underground,Decline,Operating,Mt Magnet,117.833877,-28.073273999999998,Au Ag,Precious metal,GOLD,"MOUNT MAGNET, SHIRE OF",MT. MAGNET,Youanmi Terrane
S0003744,J00008,Bulletin - Bamboo Creek,Openpit,Operating,Bamboo Creek Gold,120.240997,-20.949409,Au Ag,Precious metal,GOLD,"EAST PILBARA, SHIRE OF",MARBLE BAR,Northeast Pilbara Sub-basin
S0003756,J00102,Golden Pike,Openpit,Operating,Golden Mile / KCGM,121.50206599999999,-30.776552000000002,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0003779,J02624,Happy Jack - Tirau Underground,Decline,Operating,Matilda,120.239403,-26.619221000000003,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0003806,J00056,Scotia South,Openpit,Operating,Central Norseman,121.791702,-32.476181,Au,Precious metal,GOLD,"DUNDAS, SHIRE OF",DUNDAS M.F.,"Northern Foreland, Albany-Fraser Orogen"
S0003807,J00056,Scotia North,Openpit,Operating,Central Norseman,121.792603,-32.470928,Au Ag,Precious metal,GOLD,"DUNDAS, SHIRE OF",DUNDAS M.F.,"Northern Foreland, Albany-Fraser Orogen"
S0003820,J00184,Tank,Openpit,Operating,Aldiss - Karonie,122.55944199999999,-31.071025,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",KURNALPI,Eastern Goldfields Superterrane
S0003851,J00251,Rumbles Open Pit,Openpit,Operating,Randalls - Mt Monger,122.188267,-31.068289,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BULONG,Eastern Goldfields Superterrane
S0003919,J05237,Great Western / Red 5,Openpit,Operating,Great Western,121.18049199999999,-28.317054,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",MT. MALCOLM,Yilgarn Craton granites
S0003942,J00256,Westralia Deeps - Mt Morgans Underground,Decline,Operating,Mt Morgans,122.0679,-28.769622,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MORGANS,Eastern Goldfields Superterrane
