SITE_CODE,PROJ_CODE,TITLE,SUB_TYPE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,LGA_NAME,DISTRICT_NAME,TECTONIC_UNIT
S0019223,J03930,Paraburdoo 32 East,Openpit,Operating,Paraburdoo / Rio Tinto,117.682198,-23.253071,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019224,J03930,Paraburdoo 39 East,Openpit,Operating,Paraburdoo / Rio Tinto,117.7052,-23.25864,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019225,J03930,Paraburdoo 37 East,Openpit,Operating,Paraburdoo / Rio Tinto,117.694,-23.26259,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019226,J03930,Paraburdoo 42 East,Openpit,Operating,Paraburdoo / Rio Tinto,117.7071,-23.26511,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019228,J03928,Tom Price Section 6 Pit,Openpit,Operating,Tom Price / Rio Tinto,117.75560300000001,-22.773079,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019230,J03928,Tom Price Section 7 East 2,Openpit,Operating,Tom Price / Rio Tinto,117.725098,-22.7684,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019283,J03930,Paraburdoo 4 East (Main Pit),Openpit,Operating,Paraburdoo / Rio Tinto,117.60140200000001,-23.235149,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019285,J03932,Nammuldi Lens B,Openpit,Operating,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.330399,-22.425831,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019288,J03932,Nammuldi Lens D,Openpit,Operating,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.354897,-22.410431,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0019300,J02889,Delta - Roy Hill,Openpit,Operating,Roy Hill Iron Ore,119.972073,-22.470768,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",NULLAGINE,Hamersley Basin
S0019420,J04020,Deep South - South Laverton Pit,Openpit,Operating,Deep South - Safari Bore,122.54842,-29.546148,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",MT. MORGANS,Eastern Goldfields Superterrane
S0019514,J01726,Barton Main - Westside,Decline,Operating,Jundee - Nimary,120.60410300000001,-26.372549,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0019517,J00444,Bald Hill Central (South),Openpit,Operating,Bald Hill,122.17793200000001,-31.52314,Li Ta,Speciality metal,TIN - TANTALUM - LITHIUM,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0019534,J02624,Williamson Pit,Openpit,Operating,Matilda,120.31798700000002,-26.773502,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0019550,J00156,Shannon,Openpit,Operating,Mt Magnet,117.78341,-28.060205,Au Ag,Precious metal,GOLD,"MOUNT MAGNET, SHIRE OF",MT. MAGNET,Youanmi Terrane
S0019619,J01508,Rowdies,Openpit,Operating,Halls Creek - Lamboo Gold,127.353958,-18.419041,Au Ag,Precious metal,GOLD,"HALLS CREEK, SHIRE OF",KIMBERLEY M.F.,Sally Downs Supersuite
S0019624,J00417,Plutonic East,Decline,Operating,Plutonic Gold,119.446404,-25.306708999999998,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Eastern Goldfields Superterrane
S0019642,J00186,Tarmoola North,Openpit,Operating,Tarmoola - King of the Hills,121.16606599999999,-28.663856,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",MT. MALCOLM,Eastern Goldfields Superterrane
S0019675,J00357,Greenfinch - Westonia,Openpit,Operating,Edna May - Westonia,118.689849,-31.288290999999997,Au Ag,Precious metal,GOLD,"WESTONIA, SHIRE OF",YILGARN M.F.,Yilgarn Craton granites
S0019710,J01718,Raleigh Underground,Decline,Operating,Kundana East,121.243599,-30.72757,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",KUNANALLING,Eastern Goldfields Superterrane
S0019751,J00725,Chris D,Openpit,Operating,Woodie Woodie (Mining Corridor) / ConsMin,121.247293,-21.603578,Mn,Steel alloy metal,MANGANESE ORE,"EAST PILBARA, SHIRE OF",MARBLE BAR,Carawine Sub-basin
S0019779,J01726,Invicta - Deakin,Decline,Operating,Jundee - Nimary,120.5886,-26.3615,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0019821,J00656,Savannah Decline Portal,Decline,Operating,Savannah Nickel,128.027695,-17.3526,Ni Cu Co,Steel alloy metal,NICKEL,"HALLS CREEK, SHIRE OF",KIMBERLEY M.F.,"Lamboo Province, Central Zone"
S0019961,J00017,City of Chester Main,Openpit,Operating,Cue Gold - Central Murchison,117.7938,-27.335859000000003,Au Ag,Precious metal,GOLD,"CUE, SHIRE OF",CUE,Youanmi Terrane
S0020088,J00706,West Angelas Deposit A - West Pit North,Openpit,Operating,West Angelas,118.750099,-23.176769,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020116,J00292,Homestead - Mt Pleasant,Openpit,Operating,Paddington - Mt Pleasant,121.230797,-30.541240999999996,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BROAD ARROW M.F.,Eastern Goldfields Superterrane
S0020197,J02723,Tropicana,Openpit,Operating,Tropicana,124.55390200000001,-29.24608,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",MT. MORGANS,Tropicana Zone
S0020268,J00527,Hougoumont,Decline,Operating,Golden Grove,116.963017,-28.774319000000002,Zn Cu Pb Ag Au,Base metal,COPPER - LEAD - ZINC,"YALGOO, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0020269,J00527,Ethel,Decline,Operating,Golden Grove,116.96008300000001,-28.769453000000002,Zn Au Cu Pb Ag,Base metal,COPPER - LEAD - ZINC,"YALGOO, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0020270,J00527,Xantho,Decline,Operating,Golden Grove,116.95315,-28.775338,Zn Au,Base metal,COPPER - LEAD - ZINC,"YALGOO, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0020355,J00706,West Angelas Deposit A - Centre Pit North,Openpit,Operating,West Angelas,118.784599,-23.18494,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020371,J00732,Junction Central - Hairpin,Openpit,Operating,Yandicoogina / HI-Yandi,119.235001,-22.755171,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020372,J00732,Junction Central - Water Stand,Openpit,Operating,Yandicoogina / HI-Yandi,119.23920600000001,-22.781833,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020373,J00732,Junction Southeast (JSE),Openpit,Operating,Yandicoogina / HI-Yandi,119.26080300000001,-22.795231,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020380,J00134,Wallaby Underground,Decline,Operating,Granny Smith,122.305117,-28.852142999999998,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Yilgarn Craton granites
S0020417,J00009,Anchor North,Openpit,Operating,Duketon / Regis Resources,122.34815900000001,-27.665145000000003,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Burtville Terrane
S0020558,J03928,Tom Price North West,Openpit,Operating,Tom Price / Rio Tinto,117.740196,-22.743660000000002,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020560,J03928,Tom Price Southern Ridge,Openpit,Operating,Tom Price / Rio Tinto,117.752701,-22.761169,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020561,J03928,Tom Price Synclines,Openpit,Operating,Tom Price / Rio Tinto,117.762497,-22.76313,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020563,J03928,Tom Price South East Prong,Openpit,Operating,Tom Price / Rio Tinto,117.784433,-22.775931,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020577,J03929,Marandoo Centre Pit,Openpit,Operating,Marandoo / Rio Tinto,118.139999,-22.64666,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020580,J03929,Marandoo South West Extension Pit,Openpit,Operating,Marandoo / Rio Tinto,118.118154,-22.640029000000002,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020581,J03929,Marandoo Tail Pit,Openpit,Operating,Marandoo / Rio Tinto,118.152199,-22.651699,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020592,J00576,MAC - Deposit C East Pit,Openpit,Operating,Mining Area C,118.98685400000001,-22.929374,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0020736,J00559,Koolyanobbing F3,Openpit,Operating,Koolyanobbing Iron,119.613147,-30.876472999999997,Fe,Iron,IRON ORE,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0020737,J00559,Koolyanobbing F2,Openpit,Operating,Koolyanobbing Iron,119.607697,-30.872431,Fe,Iron,IRON ORE,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0020742,J02815,Karara - Blue Hills Magnetite,Openpit,Operating,Karara - Blue Hills / Gindalbie,116.774427,-29.187544,Fe Mag,Iron,IRON ORE,"PERENJORI, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0020968,J04801,Battler,Openpit,Operating,Battler / IMD,119.389597,-31.346359999999997,Au Ag,Precious metal,GOLD,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0020981,J00728,Koolan Main,Openpit,Operating,Koolan Island,123.738098,-16.133029999999998,Fe,Iron,IRON ORE,"DERBY/WEST KIMBERLEY, SHIRE OF",WEST KIMBERLEY M.F.,Kimberley Basin
S0021008,J00152,Trident - Higginsville,Decline,Operating,Higginsville,121.7313,-31.72505,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0021101,J00480,Murrin South (PAS Production),Openpit,Operating,Murrin Murrin / Minara,121.783997,-28.954829999999998,Ni Co,Steel alloy metal,NICKEL,"LEONORA, SHIRE OF",MT. MORGANS,Eastern Goldfields Superterrane
S0021183,J00481,Channar Southern Detritals,Openpit,Operating,Channar,117.846121,-23.318363,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021265,J01407,Eyre,Openpit,Operating,East Pilbara Iron Ore / FMG,119.849593,-22.379427,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",NULLAGINE,Hamersley Basin
S0021282,J00757,Flying Fox New Boxcut / Western Areas,Decline,Operating,Forrestania Nickel / Western Areas,119.695596,-32.421177,Ni,Steel alloy metal,NICKEL,"KONDININ, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0021378,J00573,Wheelarra 3 East,Openpit,Operating,Jimblebar-Wheelarra-Hashimoto / BHPB,120.115303,-23.373010999999998,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",PEAK HILL M.F.,Hamersley Basin
S0021415,J00571,Marillana Creek Western Mesa 4,Openpit,Operating,Marillana Creek - Yandi / BHPB,119.023697,-22.732599,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021416,J00571,Marillana Creek Western Mesa 5,Openpit,Under Development,Marillana Creek - Yandi / BHPB,119.048599,-22.7293,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021419,J00571,Marillana Creek Eastern Mesa 1,Openpit,Operating,Marillana Creek - Yandi / BHPB,119.098701,-22.73716,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021420,J00571,Marillana Creek Eastern Mesa 3,Openpit,Operating,Marillana Creek - Yandi / BHPB,119.12640400000001,-22.75844,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021422,J00571,Marillana Creek Eastern Mesa 5,Openpit,Operating,Marillana Creek - Yandi / BHPB,119.134499,-22.764120000000002,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021423,J00571,Marillana Creek Eastern Mesa 6,Openpit,Operating,Marillana Creek - Yandi / BHPB,119.138397,-22.768881,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021516,J02285,Mt Marion North Pit 2,Openpit,Operating,Mt Marion Lithium,121.461148,-31.070905,Li Li2O Ta Mica,Speciality metal,TIN - TANTALUM - LITHIUM,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0021532,J02624,Golden Age Underground,Decline,Operating,Matilda,120.246696,-26.620331,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0021542,J00102,Fimiston Superpit,Openpit,Operating,Golden Mile / KCGM,121.50352,-30.777971,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0021606,J03930,Paraburdoo 24 East,Openpit,Operating,Paraburdoo / Rio Tinto,117.652603,-23.256321,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0021718,J00226,Marvel Loch Underground,Decline,Operating,Marvel Loch - Southern Cross,119.492599,-31.464569,Au Ag,Precious metal,GOLD,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0021723,J00056,Scotia Central,Openpit,Operating,Central Norseman,121.791496,-32.47422,Au,Precious metal,GOLD,"DUNDAS, SHIRE OF",DUNDAS M.F.,"Northern Foreland, Albany-Fraser Orogen"
S0021820,J03041,Joyners Find - JWD,Openpit,Operating,Wiluna West Iron,119.95463899999999,-26.791821000000002,Fe,Iron,IRON ORE,"WILUNA, SHIRE OF",WILUNA,Youanmi Terrane
S0021837,J02780,Rose Dam South,Openpit,Operating,Rose Dam,121.27655,-30.520962,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",BROAD ARROW M.F.,Eastern Goldfields Superterrane
S0021890,J02789,Cassini,Decline,Operating,Widgiemooltha Nickel / Mincor,121.621101,-31.700939,Ni Cu Co,Steel alloy metal,NICKEL,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0022015,J03122,Phils Creek - Three Sisters CID,Openpit,Operating,Phils Creek / PMI,119.187809,-22.737048,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0022042,J00757,T5 - Flying Fox Underground,Decline,Operating,Forrestania Nickel / Western Areas,119.689003,-32.417782,Ni Cu Co,Steel alloy metal,NICKEL,"KONDININ, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0022158,J03931,Brockman 4 - Pit 3 East,Openpit,Operating,Brockman 4 Area / Rio Tinto,117.229616,-22.596942000000002,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0022159,J03931,Brockman 4 - Pit 2 Interim,Openpit,Operating,Brockman 4 Area / Rio Tinto,117.178072,-22.609482999999997,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0022230,J03932,Brockman 2 - Pit 7 (Detritals),Openpit,Operating,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.36930100000001,-22.441111,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0022265,J03673,Split Rock,Openpit,Operating,Sanjiv Ridge,119.66613500000001,-21.473689999999998,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",MARBLE BAR,Gorge Creek Basin
S0022447,J00009,Dogbolter North and South,Openpit,Operating,Duketon / Regis Resources,122.34266699999999,-27.724041999999997,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Burtville Terrane
S0022458,J01726,Vause Laterite,Openpit,Operating,Jundee - Nimary,120.816002,-26.61158,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0022532,J00753,Cardo Bore East,Openpit,Under Development,West Pilbara - Red Hill / API,116.22877,-22.193978,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",ASHBURTON M.F.,Ashburton Basin
S0022539,J00152,Aquarius - Higginsville,Decline,Under Development,Higginsville,121.728206,-31.755167,Au,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0022686,J03041,C4 - Wiluna West,Openpit,Operating,Wiluna West Iron,119.937302,-26.680360999999998,Fe,Iron,IRON ORE,"WILUNA, SHIRE OF",WILUNA,Youanmi Terrane
S0022743,J02723,Havana,Openpit,Operating,Tropicana,124.5401,-29.263359,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",MT. MORGANS,Tropicana Zone
S0022812,J03312,Paulsens East Main Pit,Openpit,Operating,Paulsens East Iron,116.33695900000001,-22.562845000000003,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Ashburton Basin
S0022821,J03313,North Marra Mamba East Pits 1-4,Openpit,Under Development,Wonmunna Iron,119.074177,-23.127015,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,South Pilbara Sub-basin
S0022842,J00753,Cardo Bore North West,Openpit,Under Development,West Pilbara - Red Hill / API,116.21350100000001,-22.148736,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",ASHBURTON M.F.,Turee Creek Basin
S0022843,J00753,Kens Bore,Openpit,Under Development,West Pilbara - Red Hill / API,116.19579399999999,-22.055688,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",ASHBURTON M.F.,Turee Creek Basin
S0022929,J01508,Wagtail North,Decline,Operating,Halls Creek - Lamboo Gold,127.353798,-18.421173,Au Ag,Precious metal,GOLD,"HALLS CREEK, SHIRE OF",KIMBERLEY M.F.,Sally Downs Supersuite
S0022974,J01726,Julius - Yandal,Openpit,Operating,Jundee - Nimary,120.948631,-26.763126,Au Ag,Precious metal,GOLD,"WILUNA, SHIRE OF",WILUNA,Eastern Goldfields Superterrane
S0023052,J01407,Kangaroo - Main Break - Cloudbreak,Openpit,Operating,East Pilbara Iron Ore / FMG,119.26039899999999,-22.285521,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",MARBLE BAR,Hamersley Basin
S0023105,J05539,Iron Ridge,Openpit,Operating,Iron Ridge,117.684502,-26.943939,Fe TiO2 Mn,Iron,IRON ORE,"CUE, SHIRE OF",CUE,Youanmi Terrane
S0023166,J00026,Wandoo North,Openpit,Operating,Boddington Gold,116.3419,-32.741345,Au Cu As Bi,Precious metal,GOLD,"BODDINGTON, SHIRE OF",SOUTH WEST M.F.,South West Terrane
S0023206,J04814,Frogs Leg Underground,Decline,Operating,Mungari / Evolution,121.270103,-30.76158,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0023219,J00753,Cochrane,Openpit,Under Development,West Pilbara - Red Hill / API,116.13245900000001,-21.921578,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",ASHBURTON M.F.,Ashburton Basin
S0023220,J00753,Jewel CID,Openpit,Under Development,West Pilbara - Red Hill / API,116.138186,-21.935159,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",ASHBURTON M.F.,Ashburton Basin
S0023281,J03436,Eliwana West End,Openpit,Operating,Western Hub / FMG,116.830554,-22.493686999999998,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0023347,J02673,Mungada East Extension,Openpit,Operating,Koolanooka & Blue Hills - Mungada / Sinosteel,116.888651,-29.140225,Fe,Iron,IRON ORE,"PERENJORI, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0023498,J00757,Lounge Lizard Nickel Underground,Decline,Operating,Forrestania Nickel / Western Areas,119.69219,-32.425579,Ni,Steel alloy metal,NICKEL,"KONDININ, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0023551,J00753,Catho Well North Pits,Openpit,Under Development,West Pilbara - Red Hill / API,116.24486,-22.380591,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",ASHBURTON M.F.,Ashburton Basin
S0023552,J00753,Trinity Bore Iron,Openpit,Under Development,West Pilbara - Red Hill / API,116.33666200000002,-22.354352,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Ashburton Basin
S0023559,J01646,Kings-Solomon,Openpit,Operating,Solomon - Greater Solomon,117.869826,-22.159468,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0023569,J03500,Mt Caudan Central Open Pit,Openpit,Operating,Parker Range - Mt Caudan Iron,119.555621,-31.614569,Fe,Iron,IRON ORE,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0023644,J01646,Firetail North,Openpit,Operating,Solomon - Greater Solomon,117.925752,-22.117679000000003,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0028079,J04512,Monster,Openpit,Operating,Pilgangoora / Pilbara Minerals,118.91520200000001,-21.020961,Li Ta Sn,Speciality metal,TIN - TANTALUM - LITHIUM,"EAST PILBARA, SHIRE OF",MARBLE BAR,Kelly Large Igneous Province
S0029437,J00009,Rosemont North,Openpit,Operating,Duketon / Regis Resources,122.268224,-27.831212,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Eastern Goldfields Superterrane
S0032004,J00753,Kens Bore East,Openpit,Under Development,West Pilbara - Red Hill / API,116.22188200000001,-22.076233,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",ASHBURTON M.F.,Turee Creek Basin
S0032945,J00017,South Victory North 2,Openpit,Operating,Cue Gold - Central Murchison,117.801533,-27.403089,Au,Precious metal,GOLD,"CUE, SHIRE OF",CUE,Youanmi Terrane
S0222904,J03929,Marandoo MMP2 Pit,Openpit,Operating,Marandoo / Rio Tinto,118.167892,-22.649534,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0222918,J00685,Coondiner HD4 Central,Openpit,Operating,Hope Downs Joint Venture,119.53912,-23.133013000000002,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0222919,J00685,Coondiner HD4 South,Openpit,Operating,Hope Downs Joint Venture,119.519623,-23.146805,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0222920,J00685,Coondiner HD4 West,Openpit,Operating,Hope Downs Joint Venture,119.50403600000001,-23.136219,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0223012,J00009,Petra,Openpit,Operating,Duketon / Regis Resources,122.257176,-27.686151000000002,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Burtville Terrane
S0223250,J00019,Fort Scott,Openpit,Operating,Binduli,121.37841200000001,-30.781146999999997,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0223403,J03641,Fender - Mt Webber,Openpit,Operating,Mt Webber ,119.29855,-21.543976,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",MARBLE BAR,Sulphur Springs Large Igneous Province
S0223445,J01718,Rubicon-Hornet Underground Portal,Decline,Operating,Kundana East,121.260602,-30.744034999999997,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0223460,J01287,Bentley,Decline,Operating,Teutonic Bore - Jaguar,121.169987,-28.483949,Zn Cu Ag Au Pb,Base metal,COPPER - LEAD - ZINC,"LEONORA, SHIRE OF",MT. MALCOLM,Eastern Goldfields Superterrane
S0223550,J00156,Water Tank Hill Underground,Shaft,Operating,Mt Magnet,117.829995,-28.064740999999998,Au Ag,Precious metal,GOLD,"MOUNT MAGNET, SHIRE OF",MT. MAGNET,Youanmi Terrane
S0223594,J00178,Cave Rocks Underground,Decline,Operating,Kambalda - St Ives,121.55771499999999,-31.209795,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0223601,J04392,Sandtrax - Prancer,Openpit,Under Development,Miralga Creek,119.188902,-21.111396,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",MARBLE BAR,Gorge Creek Basin
S0223629,J03313,Central Marra Mamba,Openpit,Operating,Wonmunna Iron,119.00319499999999,-23.14472,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,South Pilbara Sub-basin
S0223630,J03313,South Marra Mamba East,Openpit,Under Development,Wonmunna Iron,118.991075,-23.164236,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,South Pilbara Sub-basin
S0223643,J03641,Daltons-Gibson,Openpit,Operating,Mt Webber ,119.30848799999998,-21.530189,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",MARBLE BAR,Sulphur Springs Large Igneous Province
S0223837,J01646,Queens,Openpit,Operating,Solomon - Greater Solomon,117.769485,-22.128667,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0223838,J01646,Trinity - Solomon,Openpit,Operating,Solomon - Greater Solomon,117.846853,-22.122345000000003,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0223927,J00178,Hamlet Underground / St Ives,Decline,Operating,Kambalda - St Ives,121.81216200000001,-31.400095,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0224018,J03263,Conductor 1,Decline,Operating,DeGrussa - Monty,119.325799,-25.540098,Cu Au Ag,Base metal,COPPER - LEAD - ZINC,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Bryah Basin
